Date,EloRating,Result,Moves
24/02/23,1034,SebasNOB won on time,e2e4 e7e5 g1f3 d7d6 b1c3 c7c6 d2d3 f7f6 a2a4 g7g5 b2b4 h7h5 b4b5 h5h4 g2g4 c8g4 h2h3 g4f3 d1f3 a7a6 b5c6 b8c6 f1g2 c6d4 f3d1 a8c8 c1b2 d8b6 a1b1 c8c6 c3d5 b6a5 e1f1 a5a4 b2d4 e5d4 b1b7 a4c2 d1c2 c6c2 b7b8 e8d7 b8b7 d7c8 b7f7 g8h6 d5f6 c2d2 f7a7 c8b8 a7a6 d2d3 a6d6 d3d1 f1e2 d1h1 g2h1 h6f7 d6b6 b8a7 b6b1 f7e5 f6d5 f8a3 b1a1 h8c8 a1a3 a7b7 a3b3 b7c6 d5e7 c6d7 e7c8 d7c8 b3b5 e5c4 e2d3 c4a3 b5g5 a3b1 d3d4 b1d2 g5c5 c8d7 d4e3 d2b3 c5d5 d7e6 f2f4 b3c1 f4f5 e6e7 d5e5 e7f6 e5e6 f6f7 e6c6 c1b3 c6b6 b3a5 b6b7 f7f6 b7b6 f6e5 b6a6 a5c4 e3d3 c4d6 a6a5 e5f6
24/02/23,1025,Ady13messi won on time,e2e4 c7c5 g1f3 b8c6 b1c3 e7e5 f1e2 d7d6 e2b5 c8g4 b5c6 b7c6 e1g1 g4f3 d1f3 c5c4 d2d3 g8f6 d3c4 f8e7 b2b4 c6c5 b4b5 e8g8 c3d5 f6d5 e4d5 a7a6 c1b2 a6b5 c4b5 a8b8 a2a4 d8a5 c2c4 a5d2 b2c3 d2f4 f3f4 e5f4 f1e1 f8e8 g2g3 e7g5 e1e8 b8e8 a1e1 e8e1 c3e1 f4g3 f2g3 f7f5 a4a5 g8f8 a5a6 f5f4 a6a7 f4g3 e1g3 f8f7 a7a8q h7h5 g3d6 h5h4 a8f8 f7g6 f8f1 g5e3 g1g2 g6h5 f1f5 g7g5 f5h7
24/02/23,1015,vandalkedost won by resignation,e2e4 e7e5 g1f3 b8c6 b1c3 g8f6 d2d3 d7d6 c1g5 c8d7 g5f6 d8f6 c3d5 f6d8 c2c4 c6d4 f3d4 e5d4 f1e2 c7c6 d5b4 c6c5 b4c2 f8e7 e2g4 d7g4 d1g4 e8g8 e1g1 a7a5 c2e1 b7b6 e1f3 a8a7 a2a4 e7f6 b2b3 d8e7 f3d2 g7g6 f2f4 h7h5 g4g3 f8d8 f4f5 g6g5 h2h4 f6e5 g3g5 e7g5 h4g5 g8f8 g5g6 f7g6 f5g6 f8g7 f1f7 g7g6 f7a7 d8b8 d2f3 g6h6 f3e5 d6e5 a7a6 h6g5 a1f1 g5g4 f1f5 h5h4 f5e5 g4f4 e5f5 f4e3 f5h5 e3d3 h5h4 d3c3 h4h3 c3b4 a6a7 b8d8 e4e5 d4d3 e5e6 d3d2 g1h2 d2d1q e6e7 d1d6 h3g3 d8e8
25/02/23,1019,PlzForfeit won by resignation,d2d4 d7d5 g1f3 b8c6 b1c3 g8f6 e2e3 e7e6 f1d3 f8b4 e1g1 b4c3 b2c3 f6e4 a1b1 f7f5 f3e5 c6e5 d4e5 e4c3 d1e2 c3e2 d3e2 e8g8 c1d2 d5d4 e3d4 d8d4 d2b4 f8f7 c2c3 d4d2 f1e1 d2a2 c3c4 a2a4 f2f4 a4c6 e1d1 c6b6 c4c5 b6c6 e2f3 c6e8 c5c6 b7b6 d1d2 a7a5 b4a3 c8a6 b1d1 f7f8 h2h3 e8f7 g1h2 h7h6 d2d7 f7g6 a3f8 a8f8 d7c7 a5a4 c7a7 a6b5 c6c7 f8c8 d1d8 g8h7 d8c8 b5d7 c8d8
25/02/23,1022,Ady13messi won by resignation,e2e4 d7d5 e4d5 d8d5 b1c3 d5c4 f1c4
25/02/23,1025,Game drawn by stalemate,e2e4 e7e5 g1f3 b8c6 b1c3 d7d6 d2d3 c8e6 f1e2 d6d5 e4d5 e6d5 c3d5 d8d5 c2c4 d5a5 c1d2 a5c5 a2a3 a7a5 e1g1 c5e7 d2c3 e7d6 f1e1 f8e7 f3d2 g8f6 e2f3 e8g8 f3c6 b7c6 c3e5 d6d3 e5c7 e7d8 c7d8 a8d8 e1e2 d8e8 e2e8 f6e8 h2h3 e8f6 d2f3 d3c4 f3e5 c4d5 d1d5 c6d5 a1e1 d5d4 e5g4 f6g4 h3g4 f8d8 e1d1 f7f6 f2f3 d4d3 g1f2 g8f7 f2e3 d3d2 d1d2 d8e8 e3f2 g7g5 d2d7 f7g6 b2b4 a5b4 a3b4 e8b8 d7d4 b8b5 d4c4 h7h5 g4h5 g6h5 f2g3 f6f5 g3f2 f5f4 g2g4 h5h4 f2g2 b5b4 c4b4
25/02/23,1016,Ady13messi won by checkmate,d2d4 d7d5 c1f4 b8c6 e2e3 g8f6 f1d3 e7e6 g1f3 c8d7 b1d2 f8b4 c2c3 b4e7 e1g1 f6e4 c3c4 f7f5 c4d5 e6d5 f3g5 e7g5 f4g5 d8g5 f2f4 g5e7 d1h5 g7g6 h5f3 e4d2 f1d1 d2f3 g2f3 e7e3 g1g2 e8g8 d1e1 e3d3 a1d1 d3c4 d1d2 f8e8 e1c1 e8e2 d2e2 c4e2 g2g1 e2e3 g1f1 e3c1 f1f2 c1b2 f2g3 b2d4 g3h4 d4f4 h4h3 f4f3 h3h4 f5f4 h4g5 f3g4 g5f6 g4f5
25/02/23,1024,SwagMonster247 won by resignation,e2e4 e7e5 g1f3
25/02/23,1014,Ady13messi won by checkmate,e2e4 e7e5 b2b4 b8c6 g2g4 c6b4 c2c3 b4c6 b1a3 g8f6 g1h3 f6e4 f2f3 e4f6 a3c2 d7d6 c2e3 f8e7 e3f5 c8f5 g4f5 e8g8 h3g5 f6d5 f5f6 d5f6 f3f4 f6d5 g5e4 e7h4 e4f2 h4f2 e1f2 d8h4 f2g2 d5f4 g2f3 h4h5 f3e3 h5d1 e3f2 d1h5 d2d3 h5f5 f2f3 f4d3 f3e2 d3c1 a1c1 f5e4 e2d2 e4h1 f1g2 h1g2 d2d1 f7f5 d1e1 f8f6 c1d1 f6h6 d1d2 g2e4 d2e2 e4b1 e1f2 h6h2 f2f3 b1e4 e2e4 f5e4 f3e4 h7h5 c3c4 a8f8 c4c5 f8f4 e4d5 h2d2 d5e6 f4f6 e6d7 d6c5 d7e8 d2d8
25/02/23,1012,Ady13messi won by checkmate,e2e4 e7e5 g1f3 d7d6 b1c3 g8f6 d2d3 b8c6 c1g5 a7a6 g5f6 g7f6 c3d5 f8g7 c2c4 e8g8 f1e2 f8e8 e1g1 h7h6 f3d2 c6d4 e2h5 d8e7 d5e7 e8e7 d2f3 d4c6 d3d4 e5d4 f3d4 e7e4 d4c6 b7c6 f1e1 e4e1 d1e1 f6f5 e1e8 g8h7 e8f7 c8b7 h2h3 a8f8 f7c7 b7c8 c7c6 g7b2 a1e1 b2e5 c6a6 c8a6 c4c5 f8d8 c5d6 e5d6 e1b1 h7g7 a2a4 g7f6 b1b6 a6e2 h5e2 f6e5 g1f1 d8a8 b6b5 e5e6 a4a5 e6f7 a5a6 f7g6 b5b6 a8c8 b6d6 g6g5 a6a7 c8c1 d6d1 c1c8 d1a1 f5f4 a7a8q c8c1 a1c1 f4f3 e2f3 h6h5 a8e4 h5h4 e4g4 g5f6 c1c6 f6e5 g4e6 e5d4 e6c4 d4e5 c6c5 e5d6 c4d5 d6e7 c5c7 e7f6 c7c6 f6e7 d5e6 e7f8 c6c8 f8g7 c8c7 g7f8 e6c8
25/02/23,1004,mohamedmorales won by resignation,e2e4 e7e6 e4e5 f7f6 d2d4 b8c6 g1f3 d8e7 d1e2 b7b6 g2g3 c8b7 f1g2 e8c8 e1g1 c8b8 e5f6 g8f6 f3e5 h7h5 e5c6 d7c6 c2c3 h5h4 c1g5 h4h3 g5f6 e7f6 g2f3 f8d6 b2b4 e6e5 b1d2 e5d4 d2e4 f6f8 e4d6 d8d6 c3d4 d6f6 f3h1 f8b4 a1c1 b4d4 h1c6 b7c6 c1c6 f6c6 f1d1 d4f6 a2a4 c6e6 e2a6 f6f3 a6f1 h8e8 f1h3 e6e1 d1e1 e8e1 h3f1 e1f1 g1f1 f3h1 f1e2 h1h2
25/02/23,1013,kandaurovD won on time,e2e3 e7e5 d1f3 b8c6 b1c3 g8f6 f1c4 d7d6 c3e4 f8e7 c4f7 e8f7 e4f6 e7f6 f3h5 g7g6 h5h6 f6g7 h6g7 f7g7 b2b3 h8f8 c1b2 d8f6 f2f3 g7g8 e1c1 c6b4 g1e2 b4a2 c1b1 a2b4 f3f4 f6f5 d2d3 e5f4 e2f4 c8d7 h1f1 f5g5 g2g3 d7g4 d1d2 a8e8 e3e4 a7a5 b2c3 c7c5 c3b4 a5b4 b1b2 g4h3 f1f2 g5e5 b2b1 e8a8 d3d4 c5d4 f4d3 e5e4 f2f8 a8f8 b1b2 h3f1 d3b4 e4e5 b2c1 e5e1 c1b2 e1d2 b4d5 f8f2 d5b4 d2c3 b2a3 f2c2 a3a4 c3a1 b4a2 a1a2 a4b4 a2b1 b4a4 b1a2 a4b4 c2c4 b4b5 a2a7 b3c4 a7b8 b5b4 b8c7 b4b3 c7d7 b3b2 d7e6 b2c2 e6c4 c2d2
25/02/23,1020,Ady13messi won on time,e2e4 e7e5 g1f3 b8c6 b1c3 g8f6 d2d3 f8b4 c1g5 b4c3 b2c3 h7h6 g5f6 d8f6 c3c4 e8g8 f1e2 d7d6 e1g1 c8g4 h2h3 g4f3 e2f3 c6d4 f3e2 d4e2 d1e2 g7g5 g2g3 f6g6 f2f3 h6h5 g3g4 h5h4 a2a4 g6f6 a1b1 b7b6 b1b5 f6f4 e2g2 f4e3 f1f2 e3e1 g2f1 e1e3 a4a5 f7f6 a5b6 a7b6 b5b1 a8a2 b1e1 e3f4 c2c3 f4g3 f1g2 g3g2 g1g2 a2f2 g2f2 f8a8 e1b1 a8a2 f2e3 a2h2 b1a1 h2h3 a1a8 g8f7 a8c8 c7c5 c8c6 h3g3 c6d6 h4h3 d6d8 h3h2 d8h8 g3g2 h8h3 f7e6 d3d4 e6d7 d4d5 d7d6 e3d3 d6d7 d3e3 d7d6 h3h8 d6e7 h8h7 e7d6 h7h5
26/02/23,1031,maruca125 won by resignation,e2e4 g7g6 e4e5 f8g7 d2d4 e7e6 g1f3 g8e7 f1e2 c7c6 e1g1 d7d5 b2b3 f7f6 c2c4 d5c4 b3c4 b8d7 c4c5 f6e5 f3e5 d7e5 d4e5 g7e5 d1d8 e8d8 c1g5 e5a1 g5e7 d8e7 b1a3 a1b2 a3c4 b7b5 c4b2 c8b7 e2f3 a8d8 b2d1 d8d2 d1e3 d2a2 e3g4 h7h5 g4e5 e7f6 e5c6 b7c6 f3c6 h8c8 c6b5 c8c5 b5d3 a7a5 h2h3 a5a4 g1h2 a2a3 d3e4 c5c4 e4f3 a3b3 f1a1 c4b4 f3c6 a4a3 c6f3 b3c3 h2g3 b4b2 h3h4 a3a2 g3h2 c3c2 f3e4 c2f2
26/02/23,1028,f1ra101 won by checkmate,e2e4 e7e5 g1f3 b8c6 b1c3 f8c5 d2d3 c6e7 f1e2 c7c6 e1g1 d7d5 a2a3 d5d4 c3a4 c5b6 b2b4 c6c5 a4c5 b6c5 b4c5 g8f6 f3e5 c8e6 e5f3 b7b6 c5b6 d8b6 a1b1 b6b1 c2c4 e8g8 f3e5 b1b8 c4c5 b8e5 f2f4 e5c5 f4f5 e7f5 e4f5 e6c8 e2f3 a8b8 c1f4 b8b7 f3b7 c8b7 h2h3 c5c6 f1f2 f6h5 f4h2 f8e8 d1h5 c6c1 f2f1 e8e1 g1f2 c1e3
26/02/23,1029,Ady13messi won by resignation,d2d4 d7d5 e2e3 b8c6 h2h3 g8f6 f1b5 e7e6 b5c6 b7c6 g1f3 f8d6 e1g1 e8g8 a2a3 f6e4 b1d2 f7f5 d2e4 f5e4 f3e5 d6e5 d4e5 c6c5 f2f4 c5c4 b2b3 c8a6 b3c4 a6c4 f1e1 d8h4 c2c3 f8f6 d1g4 h4e1 g1h2
26/02/23,1032,CheckmateyMcCheckface won by checkmate,e2e4 e7e5 d2d4 b8c6 d4d5 c6e7 f1c4 d7d6 g1f3 c8g4 c1g5 g4f3 d1f3 f7f6 g5h4 a7a6 b1c3 b7b5 c4d3 b5b4 c3e2 g7g5 h4g3 f8h6 h2h4 e7c8 h4g5 h6g5 g3h4 g8e7 h4g5 f6g5 e1c1 h8f8 f3h5 f8f7 f2f4 g5f4 e2f4 e5f4 e4e5 d6e5 d3h7 c8d6 h7g6 e7g6 h5g6 e8d7 g6e6
26/02/23,1037,Ctown08 won by resignation,e2e4 e7e5 f1c4 b8c6 g1f3 g8f6 b1c3 d7d6 d2d3 c8g4 e1g1 g4f3 d1f3 c6d4 f3d1 f8e7 c1e3 c7c5 c3d5 f6d5 c4d5 a8b8 c2c3 d4e6 d5e6 f7e6 d1h5 g7g6 h5h6 e7f8 h6h3 f8g7 h3e6 d8e7 e6e7 e8e7 a2a4 h8f8 b2b4 b7b6 b4b5 a7a5 b5a6 b8a8 f1b1 a8a6 a1a2 e7f7 a4a5 f8b8 h2h4 h7h5 g1h2 f7g8 f2f4 g7h6 h2g3 h6f4 e3f4 e5f4 g3f4 b8f8 f4g5 g8g7 b1b2 f8b8 a5b6 a6a2 b2a2 b8b6 a2a7 g7f8 g5g6 d6d5 g6h5 d5e4 d3e4 b6e6 a7a8 f8e7 a8a7 e7d6 a7a6 d6e7 a6e6 e7e6 h5g6 e6e5 h4h5 e5e4 h5h6 e4d3 h6h7 d3c3 h7h8q c3d3 h8d8 d3c4 d8d1 c4b5 g6f5 c5c4 d1c2 b5b4 f5e4 c4c3 e4d3 b4c5 g2g4 c5d6 c2c3 d6e7 c3c4 e7f6 c4f4 f6e6 f4f5 e6d6 g4g5 d6c6 g5g6 c6b6 g6g7 b6a6 g7g8q a6b6 g8e6 b6a7 f5f7
26/02/23,1023,Ady13messi won on time,e2e4 c7c5 e4e5 e7e6 g1f3 b8c6 c2c3 a7a6 d2d4 g8e7 d4c5 d8a5 c1e3 e7d5 b2b4 a5b5 f1b5 a6b5 e3d4 c6d4 c3d4 f8e7 a2a3 e8g8 e1g1 d5f4 b1d2 f4d3 d1c2 d3f4 d2e4 f4d5 e4d6 e7d6 e5d6 a8a6 f3e5 b7b6 f2f4 b6c5 d4c5 c8b7 c2f2 d5f6 e5d7 f6d7 f4f5 e6f5 f2f5 d7f6 f5f4 b7c8 f1d1 a6a7 c5c6 f8d8 c6c7 d8d7 f4e5 a7a6 e5b5 d7d6 d1d6 a6d6 b5b8 d6e6 b8c8 e6e8 c8b7 h7h6 c7c8q e8c8 b7c8 g8h7 a1e1 f6d5 e1e8 d5f4 c8c2 f4g6 c2c8 g6f4 e8h8 h7g6 c8c2 f7f5 a3a4 f4h5 a4a5 h5f6 a5a6 f6e4 a6a7 e4d6 a7a8q d6b5 a8a6 b5d6 a6d6 g6g5 c2d2 g5h5 d2e2
26/02/23,1030,Game drawn - timeout vs insufficient material,e2e4 e7e5 g1f3 b8c6 b1c3 f8c5 d2d3 h7h6 f1e2 g8f6 e1g1 d7d6 a2a3 c8g4 b2b4 c5b6 b4b5 c6d4 f3d4 e5d4 e2g4 d4c3 g4e2 d6d5 e2f3 e8g8 a3a4 a7a5 a1a3 d5e4 f3e4 b6d4 e4b7 a8b8 b7c6 d8d6 g1h1 f6d5 f2f4 d5b4 f4f5 b4c6 b5c6 d6c6 f1f4 d4f6 f4c4 c6d5 c4c7 f8e8 h2h3 d5f5 c7c4 f6e5 c4e4 e5d6 e4e8 b8e8 a3c3 f5h5 d1f3 h5f3 g2f3 e8e1 h1g2 e1c1 c3c8 g8h7 c8d8 d6e5 d3d4 e5f6 d8d5 c1c2 g2g3 c2c4 d5a5 c4d4 a5f5 g7g6 f5f4 f6g5 f4d4 h7g7 a4a5 f7f5 a5a6 g5e3 d4d7 g7f6 a6a7 e3a7 d7a7 f6g5 f3f4 g5h5 a7a6 g6g5 f4g5 h6g5 a6a5 h5g6 h3h4 g5g4 h4h5 g6g5 h5h6 g5h6 a5f5 h6g6 f5f4 g6g5 f4g4 g5f5 g3h4 f5e6 g4g5 e6d6 h4h5 d6c6
26/02/23,1037,karpechito67 won by resignation,d2d4 d7d5 e2e3 b8c6 c2c4 g8f6 c4d5 f6d5 f1c4 c8e6 d1b3 c6a5 b3a4 a5c6 a4b3 b7b6 c4d5 e6d5 b3c3 d5g2 f2f3 g2h1 c3c6 d8d7 c6a8 d7d8 a8d8 e8d8 b1d2 e7e6 b2b3 f8b4 c1b2 b4d2 e1d2 h1g2 h2h3 g7g5 a1e1 h8g8 d2e2 g5g4 f3g4 h7h5 e2f2 g2d5 g4h5 g8g2 f2f1 g2b2 e1e2 b2b1 f1f2 a7a5 e3e4 d5b7 h5h6 d8e8 h6h7
26/02/23,1023,Game drawn - insufficient material,e2e4 d7d5 e4d5 d8d5 b1c3 d5c5 f1e2 e7e5 a2a3 c8f5 b2b4 c5c6 e2b5 c6b5 c3b5 f8d6 d2d3 g8f6 b5d6 c7d6 c2c4 e8g8 d1f3 g7g6 f3b7 b8d7 g1f3 f5d3 c4c5 a8b8 b7a7 d6c5 b4c5 b8a8 a7b7 f8b8 b7c6 d3e4 c6d6 b8c8 f3e5 d7c5 c1g5 a8a6 d6f6 a6f6 g5f6 c8c6 f6e7 c6e6 e7c5 e6e5 c5e3 e4g2 h1g1 g2e4 a1c1 e4f5 c1c8 g8g7 e1d2 h7h5 e3d4 f5c8 d4e5 f7f6 e5b2 g6g5 a3a4 g7g6 a4a5 f6f5 g1a1 g5g4 a5a6 g6g5 a6a7 c8b7 a1a5 h5h4 a5b5 b7a8 b5b8 a8f3 b8g8 g5f4 a7a8q f3a8 g8a8 f4f3 a8a3 f3f2 b2f6 f2g2 f6h4 g2h2 a3g3 f5f4 g3c3 g4g3 h4g5 g3g2 g5f4 h2g1 c3g3 g1f2 d2d3 g2g1q g3g1 f2g1
26/02/23,1008,Granitbogd won by checkmate,e2e4 b7b6 e4e5 c8b7 d2d4 g7g6 g1f3 f8g7 f1e2 b8c6 e1g1 h7h5 b1c3 h5h4 h2h3 f7f6 e5f6 e7f6 g2g4 d8e7 e2d3 f6f5 f1e1 g7e5 f3e5 e8c8 e5c6 e7d6 c6d8 c8d8 c3b5 d6c6 b5a7 c6g2
26/02/23,1030,Game drawn by repetition,e2e4 c7c5 g1f3 b8c6 b1c3 g8f6 d2d4 c5d4 f3d4 e7e5 d4c6 b7c6 f1e2 d8c7 c1e3 f8b4 e3d2 b4c3 d2c3 f6e4 e2f3 e4c3 b2c3 e8g8 e1g1 d7d5 f3e2 e5e4 c3c4 c7e5 c4d5 c6d5 a2a4 e5g5 g2g3 c8h3 f1e1 f8d8 d1c1 g5g6 c1f4 d8e8 e2f1 h3f5 a4a5 a8d8 a5a6 d5d4 a1b1 h7h6 b1b7 d8d7 b7d7 f5d7 f1c4 d7e6 c4e6 e8e6 f4b8 g8h7 b8a7 e4e3 a7d4 e3f2 d4f2 g6c2 e1e6 f7e6 a6a7 c2b1 g1g2 b1b7 g2g1 b7b1 f2f1 b1b6 f1f2 b6b1
26/02/23,1022,Ady13messi won - game abandoned,g2g3 e7e5 f1g2 d7d5 d2d3 d5d4 c2c3 b8c6 c3d4 c6d4 e2e3 d4c6 g2c6 b7c6 c1d2 c6c5 b1c3 g8f6 d1a4 c8d7 a4h4 f8d6 e1c1 e8g8 f2f4 d6e7 f4e5 f6d5 h4c4 d5c3 c4c3 d7e6 c1b1 e6d5 e3e4 d5e6 c3a5 a7a6 g1f3 e6g4 h1f1 d8d3 b1c1 g4f3 d2h6 f3d1 f1d1 d3e4 h6g7 g8g7 h2h4 e4e5 a5d2 e5g3 d2e3 g3e3 c1c2 e7h4 d1d3 e3f2 c2b3 a8b8 b3c3 f2b2 c3c4 b2b4
26/02/23,1015,Ady13messi won by checkmate,e2e4 b7b6 e4e5 c8b7 d2d4 d7d5 g1f3 e7e6 b1c3 f7f6 f1b5 c7c6 b5d3 b6b5 c1d2 f6e5 f3e5 b8d7 e5d7 d8d7 e1g1 g8f6 f1e1 h7h5 d3f5 e8c8 f5e6 f6e4 e6d7 d8d7 c3e4 d5e4 e1e4 c6c5 e4e8 c8c7 d2a5 c7c6 d1f3 d7d5 e8e6 c6d7 e6g6 d5g5 f3f7 d7c8 f7c7
27/02/23,1014,Naplevente88 won by checkmate,e2e4 e7e5 d1h5 b8c6 f1c4 g8f6 h5f7
27/02/23,1076,Game drawn by repetition,e2e4 e7e5 g1f3 b8c6 d2d4 d7d6 d4d5 c6e7 c2c4 g8f6 f1d3 c7c6 b2b4 c6d5 c4d5 g7g6 a2a4 f8g7 c1e3 e8g8 e1g1 d8e8 b1c3 c8d7 d3b5 d7b5 c3b5 a7a6 b5c7 e8b8 c7a8 b8a8 b4b5 a6b5 a4b5 a8e8 a1a7 e8b5 e3g5 b5e8 a7b7 e7c8 b7b8 f6e4 d1c2 e4g5 f3g5 g7h6 h2h4 h6g5 h4g5 e5e4 f1c1 e4e3 b8c8 e3f2 g1f2 e8e5 c8f8 g8f8 c2c8 f8g7 c8c6 e5f4 f2g1 f4g5 c1f1 g5e3 g1h1 e3h6 h1g1 h6e3 f1f2 e3e1 f2f1 e1e3
27/02/23,1069,Ady13messi won by resignation,e2e4 d7d5 e4d5 c7c6 d5c6 b8c6 f1b5 c8d7 b5c6 d7c6 g1f3 e7e6 e1g1 g8f6 d2d4 e6e5 f3e5 f8d6 e5c6 b7c6 c2c3 f6d5 f1e1 d5e7 d1f3
27/02/23,1069,Game drawn - timeout vs insufficient material,e2e4 e7e5 d2d3 b8c6 c1e3 g8f6 g1f3 d7d6 c2c3 c8g4 b1d2 f8e7 f1e2 e8g8 d3d4 g4f3 e2f3 e5d4 c3d4 d6d5 e4d5 f6d5 f3d5 d8d5 d2f3 d5a5 e3d2 e7b4 e1g1 b4d2 f3d2 c6d4 d1g4 a5d2 a1d1 f7f5 g4d4 d2d4 d1d4 a8d8 d4c4 c7c6 h2h3 d8d2 c4b4 b7b5 a2a3 a7a5 b4b3 a5a4 b3b4 f8d8 f1c1 d2d1 c1d1 d8d1 g1h2 d1d2 b4f4 d2b2 f4f5 g7g6 f5c5 b2b3 c5c6 b3a3 c6b6 a3b3 f2f3 a4a3 b6a6 b5b4 h2g3 b3c3 a6a4 c3c4 f3f4 g8g7 h3h4 h7h5 g3f3 g7f6 g2g3 f6f5 f3e3 c4c3 e3f2 b4b3 a4a3 c3c2 f2e1 b3b2 a3a5 f5g4 a5b5 c2c1 e1d2 b2b1q b5b1 c1b1 d2e3 g4g3 e3e4 g3h4 e4e5 b1e1 e5f6 e1g1 f6e5 g1g4 e5e4 h4g3 e4e5 h5h4 f4f5 h4h3 f5g6 h3h2 e5f6 g4g6 f6g6 h2h1q g6f6 h1f3 f6e5 f3e3 e5d5 g3f3 d5d6 f3e2 d6d5 e3d3 d5e6 d3e3 e6d5
27/02/23,1062,Ady13messi won by resignation,e2e4 e7e5 g1f3 g8f6 b1c3 b8c6 d2d3 f8b4 c1g5 c6d4 f1e2 b4c3 b2c3 d4f3 e2f3 d7d6 c3c4 h7h6 g5f6 d8f6 e1g1 c7c6 a2a4 d6d5 e4d5 c6d5 f3d5 c8e6 d5b7 a8b8 b7c6 e6d7 c6d7 e8d7 a1b1 g7g5 b1b8 h8b8 d1g4 d7e7 h2h3 f6d6 g4e4 d6b4 f1a1 b4d2 e4e5
27/02/23,1064,Ady13messi won - game abandoned,e2e4 e7e5 g1f3 b8c6 f1b5 d7d6 b5c6 b7c6 b1c3 c6c5 e1g1 c8g4 h2h3 g4f3 d1f3 g8f6 c3d5 f6d5 e4d5 f8e7 d2d3 e8g8 f3g3 g7g6 h3h4 e7h4 g3g4 h4f6 c1h6 f6g7 h6g5 d8c8 g4c8 a8c8 a2a3 f7f6 g5e3 f6f5 f2f4 e5e4 d3e4 g7b2 a1b1 b2a3 e4f5 f8f5 b1b3 a3b4 c2c3 b4a5 b3b5 a5b6 f1b1 f5d5 g1f2 d5d3 b1b3 c8e8 c3c4 d3b3 b5b3 a7a5 g2g4 g8g7 g4g5 h7h5 g5h6 g7h6 f4f5 h6g7 f5g6 g7g6 f2g3 e8e4 b3c3 g6f5 g3f2 a5a4 f2f3 e4h4 e3c1 h4h3 f3e2 h3c3
27/02/23,1073,Ady13messi won by checkmate,d2d4 d7d5 c1f4 b8c6 g1f3 g8f6 e2e3 e7e6 b1c3 f8b4 f1d3 b4c3 b2c3 f6e4 d3e4 d5e4 f3e5 c6e5 f4e5 h8g8 e1g1 f7f5 f2f4 c8d7 g2g3 d7c6 c3c4 a7a6 c4c5 c6d5 c2c3 c7c6 d1e2 b7b5 a1b1 d5c4 e2c2 c4f1 g1f1 g7g5 a2a3 g5f4 g3f4 d8h4 f1e2 h4h2 e2d1 g8g1
27/02/23,1080,Ady13messi won by checkmate,e2e4 e7e5 g1f3 b8c6 b1c3 g8f6 d2d3 f8b4 f1e2 b4c3 b2c3 d7d6 c3c4 c8g4 e1g1 g4f3 e2f3 g7g6 c1h6 d8e7 h6g7 h8g8 g7h6 e8c8 h6d2 b7b6 f3g4 f6g4 d1g4 c8b7 d2g5 e7e6 g4e6 f7e6 g5d8 c6d8 a2a4 d8c6 f2f4 c6d4 a1c1 d4e2 g1h1 e2c1 f1c1 g8f8 f4e5 d6e5 h1g1 c7c5 h2h3 a7a5 c1f1 f8g8 f1f7 b7c6 f7f6 c6d6 g2g4 d6e7 f6f3 g8f8 g1g2 f8f3 g2f3 e7f6 h3h4 g6g5 h4h5 h7h6 f3g3 f6e7 g3f3 e7f6 f3e3 f6e7 e3d2 e7d6 c2c3 d6c6 d2e3 c6d6 d3d4 d6c6 d4e5 c6d7 e3d3 d7c6 d3c2 b6b5 a4b5 c6b6 c2b3 b6b7 b3a4 b7b6 a4a3 b6b7 a3a4 b7b6 a4b3 b6b7 b3c2 b7b6 c2d3 b6b7 b5b6 a5a4 d3c2 b7b6 c2b2 b6a5 b2a3 a5a6 a3a4 a6b6 a4a3 b6c6 a3a4 c6b6 a4b3 b6a5 b3c2 a5a4 c2d3 a4b3 d3d2 b3c4 d2c2 c4b5 c2b3 b5a5 c3c4 a5b6 b3a4 b6c6 a4a5 c6b7 a5b5 b7c7 b5c5 c7b7 c5d6 b7b6 c4c5 b6b5 d6e6 b5c5 e6f6 c5d4 e5e6 d4e4 e6e7 e4d4 e7e8q d4d5 e8g6 d5c5 g6h6 c5c4 h6g5 c4b4 h5h6 b4c3 h6h7 c3c4 h7h8q c4b4 h8b8 b4c4 g5b5 c4d4 b5e5 d4c4 b8d8 c4b4 e5c7 b4b5 d8b8 b5a6 c7a7
27/02/23,1070,Ady13messi won - game abandoned,e2e4 e7e5 b1c3 b8c6 g1f3 d7d6 f1b5 c8g4 b5c6 b7c6 h2h3 g4f3 d1f3 g8f6 e1g1 d6d5 e4d5 c6d5 d2d3 d5d4 c3e4 f6e4 d3e4 f8d6 f3g3 e8g8 c1h6 d8f6 h6g5 f6g6 h3h4 h7h6 h4h5 g6g5 g3g5 h6g5 g2g3 f7f6 g1g2 c7c5 f1h1 g8h7 h1h3 a8b8 b2b3 a7a5 a1h1 f6f5 h5h6 g7g6 f2f4 g5g4 h3h4 f5e4 f4e5 d6e5 h4g4 e4e3 g4g5 f8f2 g2g1 b8e8 h1h2 f2h2 g1h2 e5f6 g5c5 e3e2 c5c7 e8e7 c7e7 f6e7
