Date,EloRating,Result,Moves
02/02/23,1009,Abdulwaseakra won on time,e2e4 e7e5 g1f3 b8c6 b1c3 d7d6 f1c4 c8g4 d2d3 g8f6 h2h3 g4f3 d1f3 c6d4 f3d1 f8e7 c3d5 f6d5 c4d5 a8b8 c2c3 d4e6 e1g1 c7c6 d5b3 e8g8 d1f3 d8d7 f3g4 c6c5 c1e3 b7b5 a2a3 a7a5 c3c4 a5a4 b3c2 b5c4 d3c4 b8b2 c2a4 d7a4 e3h6 e7f6 h6e3 g7g6 f2f4 e5f4 e3f4 a4c4 f4d6 c4d4 g1h1 d4d6 f1f6 c5c4 a1c1 b2a2 c1f1 c4c3 f6f3 c3c2 f3c3 e6d4 c3d3 d6e5 g4h4
02/02/23,1002,Ady13messi won by resignation,e2e4 e7e5 g1f3 b8c6 f1c4 d7d6 e1g1 c8g4 d2d3 g8f6 c2c3 f8e7 a2a4 c6a5 c4a2 d8d7 c1g5 e8c8 h2h3 g4f3 d1f3 h7h6 g5h4 g7g5 h4g3 h6h5 a2f7 h5h4 g3h2 h8f8 f7d5 f6d5 f3f8 d8f8 e4d5 g5g4 h3g4 d7g4 b1d2 f8g8 g2g3 h4g3 h2g3 e7h4 g1g2 h4g3 f2f3 g4f4 d2e4 g3h4
02/02/23,1010,dzonypony won - game abandoned,e2e4 e7e6 e4e5 b8c6 d2d4 f7f6 e5f6 g8f6 g1f3 d7d5 c1g5 h7h6 g5f6 d8f6 f1b5 c8d7 b5c6 d7c6 b1c3 e8c8 e1g1 g7g5 f3e5 d8d6 d1f3 f8e7 f3f6 e7f6 e5f7 h8f8 f7d6 c7d6 f1e1 f6d4 e1e6 f8f2 g2g3 f2f6 g1g2 f6e6 a1d1 d4c3 b2c3 e6e2 g2h3 e2c2 c3c4 c2c4 d1f1 c4c2
02/02/23,1020,LookForCheck won by resignation,e2e4 e7e5 g1f3 b8c6 b1c3 g8f6 d2d3 d7d5 c1g5 f8e7 g5f6 e7f6 c3d5 c6d4 f3d4 e5d4 c2c4 c7c6 d5f6 d8f6 f1e2 e8g8 e1g1 f6g6 e2h5 g6g5 g2g3 g7g6 h2h4 g5e5 h5g4 c8g4 d1g4 f7f5 g4e2 f5e4 d3e4 f8e8 f2f3 g6g5 h4g5 e5g5 g3g4 g5f4 e2d3 a8d8 b2b3 f4e3 d3e3 d4e3 f1e1 b7b5 e1e3 b5c4 b3c4 d8d4 c4c5 d4c4 a1b1 c4c5 b1b7 c5c1 g1f2 c1c2 f2g3 a7a5 b7a7 c2a2 e4e5 c6c5 f3f4 c5c4 f4f5 e8c8 e5e6 c4c3 e6e7 c8e8 f5f6 c3c2 e3c3 e8b8 a7b7 b8e8 g3f2 g8f7 f2e3 f7f6 e3d3 e8e7 b7e7 f6e7 c3c2 a2a3 c2c3 a3c3 d3c3 e7f6 c3b3 f6g5 b3a4 g5g4 a4a5 h7h5 a5b5 h5h4 b5c4 h4h3
02/02/23,1020,Ady13messi won on time,e2e4 d7d5 e4d5 d8d5 b1c3 d5e6 f1e2 g8f6 g1f3 f6d5 d2d3 d5c3 b2c3 b8c6 c3c4 e6d7 c1b2 e7e6 e1g1 f8e7 a1b1 f7f6 b2a1 e7d6 d3d4 d6e7 c4c5 e6e5 e2b5 e5d4 b5c6 b7c6 f3d4 e7c5 f1e1 e8d8 c2c3 c5d4 c3d4 c8a6 h2h3 a6b5 a2a4 b5c4 a4a5 c4d5 a5a6 h8e8 e1e8 d8e8 d1e2 e8f7 e2h5 g7g6 h5h7 f7e6 h7g6 d7f7 b1e1 e6d6 g6g3 d6d7 g3g4 d5e6 g4g3 a8e8 g1f1 e6c4 f1g1 e8e1 g1h2 f7e6 g3g7 e6e7 g7g4 d7d8 a1c3 e7d6 g2g3 d6g3 h2g3 e1g1 g3f3 g1g4 h3g4 c4e6 f3f4 e6g4 f4g4 d8d7 g4f5
02/02/23,1026,crezzzyboy won by resignation,e2e4 e7e5 f2f4 d7d6 g1f3 b8c6 f1b5 c8d7 b1c3 a7a6 b5a4 b7b5 a4b3 g8f6 d2d3 e5f4 c1f4 d7g4 b3d5 d8d7 h2h3 g4f3 d1f3 e8c8 e1c1 c6d4 f3e3 h7h6 e3d4 g7g5 d4a7 c7c6 a7a8 c8c7 a8a6 c6d5 c3d5 f6d5 e4d5 f8g7 d1e1 d8a8 a6c6 d7c6 d5c6 c7c6 e1e7 a8a2 e7f7 a2a1 c1d2 a1h1 f7g7 h1h2 f4h2 d6d5 g7g6 c6c5 b2b3 b5b4 c2c4 d5d4 h2e5 h8e8 e5d6 c5c6 d6b4 c6d7 g6d6 d7c7 d6d4 c7c6 d4d6
02/02/23,1034,Marekcz1309 won by checkmate,e2e4 e7e6 e4e5 g7g5 d2d4 h7h5 g1f3 g5g4 f3d2 b7b6 g2g3 c8b7 h1g1 d8e7 h2h4 e7b4 c2c3 b4e7 f1g2 b7g2 g1g2 f8h6 d2e4 h6g7 c1g5 e7f8 b1d2 d7d5 e4f6 g7f6 g5f6 g8f6 e5f6 f8h6 d1e2 h6f6 e1c1 b8d7 b2b4 a7a5 a2a3 a5b4 a3b4 a8a1 c1c2 f6f5 e2d3 f5d3 c2d3 a1d1 d3c2 d1a1 d2b3 a1a2 c2d3 e8e7 d3e3 h8a8 e3f4 f7f6 g2g1 a2f2 f4e3 a8a2 g1e1 f2f3
02/02/23,1027,othmane_elhoudi won on time,e2e4 b8c6 g1f3 g7g6 e4e5 f8g7 d2d4 e7e6 f1e2 g8e7 e1g1 e8g8 b1c3 d7d5 c1g5 h7h6 g5f4 e7f5 d1d2 g6g5 f4g3 f5g3 f2g3 f7f6 g3g4 f6e5 f3e5 f8f1 a1f1 c6e5 d4e5 g7e5 h2h3 d8d6 d2d3 e5h2 g1h1 e6e5 a2a3 e5e4 d3d4 c8e6 d4f6 h2e5 f6g6 g8h8 g6h6 h8g8 h6g5 g8h7 g5h5 h7g7 g4g5 e5c3 h5h6 g7g8 b2c3 e6f7 h6h4 d6a3 e2h5 f7h5 h4h5 a8f8 h5g6 g8h8 f1f8 a3f8 g6h6 f8h6 g5h6 h8h7 g2g4 h7h6 h3h4 a7a5 h1h2 a5a4 h2h3 a4a3 g4g5 h6g6 h4h5 g6h5 h3g3 h5g5 g3f2 a3a2 f2e3 a2a1q e3d4 a1a7 d4d5 a7b6 d5e4 c7c5 e4d3 b6b5 d3d2 b5c4 d2c1 b7b5 c1b2 b5b4 b2c1 c4c3 c1d1 b4b3 c2b3 c3b3 d1e1 c5c4 e1f2 c4c3 f2g3 c3c2
02/02/23,1024,SergioLazzaro won by checkmate,e2e4 e7e5 d2d3 b8c6 c1e3 d7d6 b1c3 g8f6 g2g3 f8e7 f1g2 e8g8 g1e2 c8g4 d1d2 g4e2 d2e2 c6a5 a2a4 c7c5 e1g1 a5c6 a1b1 c6d4 e3d4 e5d4 c3a2 f6e8 b2b4 b7b6 b4c5 b6c5 c2c3 e7f6 c3d4 f6d4 g1h1 d8a5 e4e5 a8d8 e5d6 d8d6 a2c1 a5a4 c1b3 e8f6 b3d4 d6d4 g2e4 f6e4 d3e4 d4e4 e2f3 e4d4 h1g2 h7h6 h2h4 f8c8 b1b7 a7a5 f3f7 g8h8 f7g7
02/02/23,1034,Ady13messi won on time,e2e4 b8c6 g1f3 g8f6 b1c3 e7e5 d2d3 d7d6 c1g5 f8e7 g5f6 e7f6 c3d5 c8e6 c2c4 e6d5 e4d5 c6d4 f3d4 e5d4 f1e2 d8e7 e1g1 e8g8 f1e1 e7d7 e2f3 f8e8 e1e8 a8e8 f3e4 f6e5 d1d2 f7f5 e4f3 f5f4 f3e4 d7g4 f2f3 g4g5 d2f2 h7h6 h2h4 g5e7 g2g4 g7g5 h4h5 g8g7 e4g6 e8d8 b2b3 e7d7 g6f5 d7e7 f2b2 e7e8 a2a4 c7c6 a4a5 c6d5 c4d5 e8b5 b3b4 b5d5 b4b5 d5f3 b2c2 f3d5 c2c7 d5f7 c7d8 e5f6 d8d6 f6e7 d6c7 e7f6 c7f7 g7f7 f5g6 f7e7 a5a6 b7b6 a1c1 e7d6 c1c6 d6e5 g6e4 f6d8 g1f2 d8f6 f2f3 f6d8 e4g6
